# Seconds,C1,C2,C3,C4,I
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,3.988856804686600754e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.703241855601178356e+00
2.200000000000000000e+01,7.915503946580456640e-01,4.510887733093501368e-04,2.335213087337533478e-05,3.051475455585249755e-03,1.703241855601178356e+00
2.300000000000000000e+01,1.178093640497604566e+00,1.345721077577945613e-03,6.969082888126861312e-05,9.083492187484073707e-03,1.703241855601178356e+00
2.400000000000000000e+01,1.558613322801907453e+00,2.676472722615289273e-03,1.386563766349837754e-04,1.802641982205649418e-02,1.703241855601178356e+00
2.500000000000000000e+01,1.933205778780256345e+00,4.436038631886446600e-03,2.298948094873316491e-04,2.981190962985235879e-02,1.703241855601178356e+00
2.600000000000000000e+01,2.301965803137820288e+00,6.617230935048306131e-03,3.430578234228753138e-04,4.437287272885295092e-02,1.703241855601178356e+00
2.700000000000000000e+01,2.664986672774837917e+00,9.212977091029122406e-03,4.778026844230738699e-04,6.164345864648155399e-02,1.703241855601178356e+00
2.800000000000000000e+01,3.022360171090330283e+00,1.221631804116225968e-02,6.337921392827088399e-04,8.155903423456348222e-02,1.703241855601178356e+00
2.900000000000000000e+01,3.374176611896640754e+00,1.562040639189289822e-02,8.106943278543527571e-04,1.040561629315100989e-01,1.703241855601178356e+00
3.000000000000000000e+01,3.720524862951055667e+00,1.941850462658416612e-02,1.008182696698015730e-03,1.290725843660933403e-01,1.703241855601178356e+00
3.100000000000000000e+01,3.662606688641954822e+00,2.360398334595673053e-02,1.225935914113466824e-03,1.565471942972683217e-01,0.000000000000000000e+00
3.200000000000000000e+01,3.605614780458119117e+00,2.771923076339404338e-02,1.440285655659718708e-03,1.833685494290051565e-01,0.000000000000000000e+00
3.300000000000000000e+01,3.549534307513971143e+00,3.176537379024953894e-02,1.651286347372243673e-03,2.095487330963778927e-01,0.000000000000000000e+00
3.400000000000000000e+01,3.494350676402068867e+00,3.574352129164586056e-02,1.858991543849504002e-03,2.350996227406725037e-01,0.000000000000000000e+00
3.500000000000000000e+01,3.440049527390489192e+00,3.965476437544034061e-02,2.063453942206749936e-03,2.600328933011821775e-01,0.000000000000000000e+00
3.600000000000000000e+01,3.386616730681105469e+00,4.350017667656332770e-02,2.264725395806383313e-03,2.843600205519653534e-01,0.000000000000000000e+00
3.700000000000000000e+01,3.334038382727777527e+00,4.728081463680360030e-02,2.462856927768463430e-03,3.080922843844532966e-01,0.000000000000000000e+00
3.800000000000000000e+01,3.282300802613493218e+00,5.099771778011377710e-02,2.657898744264878578e-03,3.312407720367797070e-01,0.000000000000000000e+00
3.900000000000000000e+01,3.231390528485527547e+00,5.465190898350727466e-02,2.849900247600640341e-03,3.538163812706916489e-01,0.000000000000000000e+00
4.000000000000000000e+01,3.181294314047676597e+00,5.824439474361767233e-02,3.038910049085717831e-03,3.758298234968850959e-01,0.000000000000000000e+00
4.100000000000000000e+01,3.131999125108668292e+00,6.177616543898967194e-02,3.224975981700761631e-03,3.972916268495986225e-01,0.000000000000000000e+00
4.200000000000000000e+01,3.083492136185831622e+00,6.524819558817024356e-02,3.408145112560015139e-03,4.182121392112805869e-01,0.000000000000000000e+00
4.300000000000000000e+01,3.035760727163158368e+00,6.866144410366702144e-02,3.588463755174668961e-03,4.386015311881358847e-01,0.000000000000000000e+00
4.400000000000000000e+01,2.988792480002871343e+00,7.201685454184021673e-02,3.765977481519842442e-03,4.584697990373448051e-01,0.000000000000000000e+00
4.500000000000000000e+01,2.942575175509654084e+00,7.531535534879310601e-02,3.940731133908347353e-03,4.778267675467310349e-01,0.000000000000000000e+00
4.600000000000000000e+01,2.897096790146687972e+00,7.855786010232529426e-02,4.112768836674321991e-03,4.966820928676474733e-01,0.000000000000000000e+00
4.700000000000000000e+01,2.852345492902676138e+00,8.174526775001159096e-02,4.282134007669782284e-03,5.150452653018320337e-01,0.000000000000000000e+00
4.800000000000000000e+01,2.808309642209033452e+00,8.487846284346875492e-02,4.448869369577080138e-03,5.329256120429785026e-01,0.000000000000000000e+00
4.900000000000000000e+01,2.764977782906437920e+00,8.795831576887094827e-02,4.613016961040230200e-03,5.503322998737488758e-01,0.000000000000000000e+00
5.000000000000000000e+01,2.722338643259960556e+00,9.098568297377419845e-02,4.774618147617985982e-03,5.672743378189488705e-01,0.000000000000000000e+00
5.100000000000000000e+01,2.680381132021981472e+00,9.396140719030866839e-02,4.933713632561538033e-03,5.837605797555726062e-01,0.000000000000000000e+00
5.200000000000000000e+01,2.639094335542147007e+00,9.688631765479722990e-02,5.090343467419629689e-03,5.997997269804106191e-01,0.000000000000000000e+00
5.300000000000000000e+01,2.598467514923593402e+00,9.976123032385730838e-02,5.244547062473864200e-03,6.154003307359078301e-01,0.000000000000000000e+00
5.400000000000000000e+01,2.558490103224714041e+00,1.025869480870423844e-01,5.396363197006909425e-03,6.305707946949437037e-01,0.000000000000000000e+00
5.500000000000000000e+01,2.519151702705728635e+00,1.053642609760786636e-01,5.545830029406290627e-03,6.453193774051964038e-01,0.000000000000000000e+00
5.600000000000000000e+01,2.480442082119345137e+00,1.080939463707512455e-01,5.692985107106389095e-03,6.596541946937455325e-01,0.000000000000000000e+00
5.700000000000000000e+01,2.442351174044801176e+00,1.107767692014937078e-01,5.837865376371251247e-03,6.735832220325513875e-01,0.000000000000000000e+00
5.800000000000000000e+01,2.404869072264598007e+00,1.134134821487334382e-01,5.980507191920747881e-03,6.871142968654451177e-01,0.000000000000000000e+00
5.900000000000000000e+01,2.367986029183237306e+00,1.160048258390453113e-01,6.120946326402594562e-03,7.002551208972486174e-01,0.000000000000000000e+00
6.000000000000000000e+01,2.331692453287289801e+00,1.185515290381641829e-01,6.259217979712699935e-03,7.130132623456365559e-01,0.000000000000000000e+00
6.100000000000000000e+01,2.295978906646137574e+00,1.210543088409069407e-01,6.395356788166280983e-03,7.253961581563402872e-01,0.000000000000000000e+00
6.200000000000000000e+01,2.260836102452731033e+00,1.235138708580532790e-01,6.529396833522111386e-03,7.374111161822872740e-01,0.000000000000000000e+00
6.300000000000000000e+01,2.226254902603730823e+00,1.259309094002342699e-01,6.661371651862283902e-03,7.490653173272562304e-01,0.000000000000000000e+00
6.400000000000000000e+01,2.192226315318390739e+00,1.283061076588761784e-01,6.791314242329773987e-03,7.603658176546211900e-01,0.000000000000000000e+00
6.500000000000000000e+01,2.158741492795572370e+00,1.306401378842471372e-01,6.919257075726103177e-03,7.713195504617490483e-01,0.000000000000000000e+00
6.600000000000000000e+01,2.125791728908278166e+00,1.329336615606526162e-01,7.045232102971327008e-03,7.819333283206028051e-01,0.000000000000000000e+00
6.700000000000000000e+01,2.093368456935095434e+00,1.351873295788258433e-01,7.169270763428556639e-03,7.922138450850985114e-01,0.000000000000000000e+00
6.800000000000000000e+01,2.061463247327972592e+00,1.374017824055576431e-01,7.291403993095188669e-03,8.021676778657509388e-01,0.000000000000000000e+00
6.900000000000000000e+01,2.030067805515730406e+00,1.395776502506101413e-01,7.411662232662973374e-03,8.118012889721368808e-01,0.000000000000000000e+00
7.000000000000000000e+01,1.999173969742754409e+00,1.417155532309577748e-01,7.530075435449012575e-03,8.211210278236954485e-01,0.000000000000000000e+00
7.100000000000000000e+01,1.968773708942285650e+00,1.438161015323984049e-01,7.646673075199776626e-03,8.301331328293761747e-01,0.000000000000000000e+00
7.200000000000000000e+01,1.938859120643771528e+00,1.458798955685765841e-01,7.761484153770145840e-03,8.388437332366399657e-01,0.000000000000000000e+00
7.300000000000000000e+01,1.909422428913724046e+00,1.479075261374604988e-01,7.874537208679505129e-03,8.472588509503046206e-01,0.000000000000000000e+00
7.400000000000000000e+01,1.880455982329548359e+00,1.498995745753133879e-01,7.985860320546831273e-03,8.553844023217247461e-01,0.000000000000000000e+00
7.500000000000000000e+01,1.851952251985816700e+00,1.518566129081994343e-01,8.095481120406741726e-03,8.632261999087845750e-01,0.000000000000000000e+00
7.600000000000000000e+01,1.823903829532466325e+00,1.537792040010635686e-01,8.203426796908386276e-03,8.707899542071738663e-01,0.000000000000000000e+00
7.700000000000000000e+01,1.796303425244411889e+00,1.556679017044244606e-01,8.309724103399068057e-03,8.780812753534122939e-01,0.000000000000000000e+00
7.800000000000000000e+01,1.769143866122065978e+00,1.575232509987181673e-01,8.414399364894438807e-03,8.851056748000785124e-01,0.000000000000000000e+00
7.900000000000000000e+01,1.742418094022277097e+00,1.593457881363308792e-01,8.517478484937085481e-03,8.918685669636916558e-01,0.000000000000000000e+00
8.000000000000000000e+01,1.716119163819195492e+00,1.611360407813570705e-01,8.618986952345293259e-03,8.983752708456897995e-01,0.000000000000000000e+00
8.100000000000000000e+01,1.690240241594587189e+00,1.628945281471199935e-01,8.718949847853745688e-03,9.046310116269372648e-01,0.000000000000000000e+00
8.200000000000000000e+01,1.664774602857126418e+00,1.646217611314899076e-01,8.817391850647881071e-03,9.106409222361897537e-01,0.000000000000000000e+00
8.300000000000000000e+01,1.639715630790201883e+00,1.663182424500358192e-01,8.914337244793638093e-03,9.164100448929398679e-01,0.000000000000000000e+00
8.400000000000000000e+01,1.615056814527779272e+00,1.679844667670448155e-01,9.009809925564223054e-03,9.219433326250540128e-01,0.000000000000000000e+00
8.500000000000000000e+01,1.590791747457871885e+00,1.696209208244437439e-01,9.103833405665584869e-03,9.272456507616098076e-01,0.000000000000000000e+00
8.600000000000000000e+01,1.566914125553176218e+00,1.712280835686563196e-01,9.196430821362198971e-03,9.323217784013361209e-01,0.000000000000000000e+00
8.700000000000000000e+01,1.543417745728440593e+00,1.728064262754290259e-01,9.287624938504763020e-03,9.371764098570477541e-01,0.000000000000000000e+00
8.800000000000000000e+01,1.520296504224132317e+00,1.743564126726582786e-01,9.377438158461372589e-03,9.418141560764639042e-01,0.000000000000000000e+00
8.900000000000000000e+01,1.497544395015991237e+00,1.758784990612508592e-01,9.465892523953732887e-03,9.462395460397936553e-01,0.000000000000000000e+00
9.000000000000000000e+01,1.475155508250045822e+00,1.773731344340487848e-01,9.553009724799905317e-03,9.504570281344615346e-01,0.000000000000000000e+00
9.100000000000000000e+01,1.453124028702691195e+00,1.788407605928503119e-01,9.638811103565110214e-03,9.544709715073457224e-01,0.000000000000000000e+00
9.200000000000000000e+01,1.431444234265424997e+00,1.802818122635569120e-01,9.723317661122032537e-03,9.582856673948901838e-01,0.000000000000000000e+00
9.300000000000000000e+01,1.410110494453845176e+00,1.816967172094764160e-01,9.806550062122115427e-03,9.619053304314497677e-01,0.000000000000000000e+00
9.400000000000000000e+01,1.389117268940523342e+00,1.830858963428121100e-01,9.888528640379222467e-03,9.653340999362211017e-01,0.000000000000000000e+00
9.500000000000000000e+01,1.368459106111369783e+00,1.844497638343663426e-01,9.969273404167101546e-03,9.685760411791041191e-01,0.000000000000000000e+00
9.600000000000000000e+01,1.348130641645116645e+00,1.857887272214877594e-01,1.004880404143203287e-02,9.716351466258359437e-01,0.000000000000000000e+00
9.700000000000000000e+01,1.328126597115544261e+00,1.871031875142898371e-01,1.012713992492199691e-02,9.745153371627334193e-01,0.000000000000000000e+00
9.800000000000000000e+01,1.308441778616090678e+00,1.883935393001688052e-01,1.020430011723371701e-02,9.772204633013724662e-01,0.000000000000000000e+00
9.900000000000000000e+01,1.289071075406485356e+00,1.896601708466477409e-01,1.028030337577888823e-02,9.797543063635301142e-01,0.000000000000000000e+00
1.000000000000000000e+02,1.270009458581052408e+00,1.909034642025740081e-01,1.035516815767088296e-02,9.821205796467087357e-01,0.000000000000000000e+00
1.010000000000000000e+02,1.251251979758338129e+00,1.921237952976964092e-01,1.042891262453320318e-02,9.843229295705564486e-01,0.000000000000000000e+00
1.020000000000000000e+02,1.232793769791721061e+00,1.933215340406474470e-01,1.050155464723095261e-02,9.863649368044929977e-01,0.000000000000000000e+00
1.030000000000000000e+02,1.214630037500668003e+00,1.944970444153572287e-01,1.057311181052652746e-02,9.882501173768452052e-01,0.000000000000000000e+00
1.040000000000000000e+02,1.196756068422305530e+00,1.956506845759229674e-01,1.064360141766076788e-02,9.899819237657924154e-01,0.000000000000000000e+00
1.050000000000000000e+02,1.179167223582983537e+00,1.967828069399598923e-01,1.071304049486076007e-02,9.915637459724147007e-01,0.000000000000000000e+00
1.060000000000000000e+02,1.161858938289506371e+00,1.978937582804569106e-01,1.078144579577544095e-02,9.929989125761355950e-01,0.000000000000000000e+00
1.070000000000000000e+02,1.144826720939721820e+00,1.989838798161618350e-01,1.084883380584020056e-02,9.942906917728427940e-01,0.000000000000000000e+00
1.080000000000000000e+02,1.128066151852154642e+00,2.000535073005191844e-01,1.091522074657156824e-02,9.954422923959694858e-01,0.000000000000000000e+00
1.090000000000000000e+02,1.111572882114379990e+00,2.011029711091836536e-01,1.098062257979315511e-02,9.964568649208092044e-01,0.000000000000000000e+00
1.100000000000000000e+02,1.095342632449838760e+00,2.021325963261326741e-01,1.104505501179391981e-02,9.973375024523400967e-01,0.000000000000000000e+00
1.110000000000000000e+02,1.636995682958103604e+00,2.031427028283998293e-01,1.110853349741984346e-02,9.980872416968209482e-01,2.381056575952164689e+00
1.120000000000000000e+02,2.170206764491015683e+00,2.047642074689091929e-01,1.120371848740227445e-02,1.002974891272469860e+00,2.381056575952164689e+00
1.130000000000000000e+02,2.695110893753168924e+00,2.069868720454250133e-01,1.133011390382097396e-02,1.011904215102591653e+00,2.381056575952164689e+00
1.140000000000000000e+02,3.211840925626906706e+00,2.098006226204643943e-01,1.148723160213708377e-02,1.024780746194268621e+00,2.381056575952164689e+00
1.150000000000000000e+02,3.720527587788300838e+00,2.131955468907900386e-01,1.167459124416822709e-02,1.041511756566928293e+00,2.381056575952164689e+00
1.160000000000000000e+02,4.221299514768843686e+00,2.171618915990236598e-01,1.189172017309756031e-02,1.062006227675771797e+00,2.381056575952164689e+00
1.170000000000000000e+02,4.714283281471734810e+00,2.216900599867063504e-01,1.213815329048425866e-02,1.086174821322033690e+00,2.381056575952164689e+00
1.180000000000000000e+02,5.199603436151474689e+00,2.267706092881416335e-01,1.241343293524332751e-02,1.113929851042178898e+00,2.381056575952164689e+00
1.190000000000000000e+02,5.677382532865389742e+00,2.323942482643683027e-01,1.271710876456326987e-02,1.145185253968264982e+00,2.381056575952164689e+00
1.200000000000000000e+02,6.147741163405513021e+00,2.385518347766207303e-01,1.304873763673051676e-02,1.179856563151828297e+00,2.381056575952164689e+00
1.210000000000000000e+02,6.053173497863861385e+00,2.452343733986441232e-01,1.340788349583014669e-02,1.217860880343768715e+00,9.140871846827094382e-16
1.220000000000000000e+02,5.960117423076568777e+00,2.518024109677847733e-01,1.376147201499062882e-02,1.254851021867797511e+00,9.140871846827094382e-16
1.230000000000000000e+02,5.868548736866173954e+00,2.582577863862508538e-01,1.410959201324605422e-02,1.290846309837044625e+00,9.140871846827094382e-16
1.240000000000000000e+02,5.778443624589551852e+00,2.646023091071144084e-01,1.445233088755257071e-02,1.325865733403817526e+00,9.140871846827094382e-16
1.250000000000000000e+02,5.689778652932533376e+00,2.708377596058665349e-01,1.478977463555921495e-02,1.359927954271388462e+00,9.140871846827094382e-16
1.260000000000000000e+02,5.602530763803879488e+00,2.769658898444215533e-01,1.512200787801413690e-02,1.393051312116146079e+00,9.140871846827094382e-16
1.270000000000000000e+02,5.516677268327039307e+00,2.829884237276916181e-01,1.544911388081203658e-02,1.425253829921557136e+00,9.140871846827094382e-16
1.280000000000000000e+02,5.432195840928105035e+00,2.889070575528500107e-01,1.577117457668858122e-02,1.456553219225359186e+00,9.140871846827094382e-16
1.290000000000000000e+02,5.349064513518444031e+00,2.947234604514012424e-01,1.608827058656741790e-02,1.486966885281385098e+00,9.140871846827094382e-16
1.300000000000000000e+02,5.267261669770468835e+00,3.004392748241717093e-01,1.640048124056538853e-02,1.516511932137398544e+00,9.140871846827094382e-16
1.310000000000000000e+02,5.186766039485079638e+00,3.060561167693358620e-01,1.670788459866139747e-02,1.545205167630291587e+00,4.849063386209530975e-16
1.320000000000000000e+02,5.107556693049287944e+00,3.115755765035882474e-01,1.701055747103430091e-02,1.573063108299980639e+00,4.849063386209530975e-16
1.330000000000000000e+02,5.029613035982590574e+00,3.169992187765712233e-01,1.730857543807515567e-02,1.600101984223312845e+00,4.849063386209530975e-16
1.340000000000000000e+02,4.952914803570674707e+00,3.223285832786674243e-01,1.760201287007902640e-02,1.626337743769271427e+00,4.849063386209530975e-16
1.350000000000000000e+02,4.877442055585043512e+00,3.275651850422617306e-01,1.789094294662144091e-02,1.651786058276752067e+00,4.849063386209530975e-16
1.360000000000000000e+02,4.803175171087194606e+00,3.327105148365785414e-01,1.817543767562464566e-02,1.676462326656160684e+00,4.849063386209530975e-16
1.370000000000000000e+02,4.730094843316004827e+00,3.377660395561963846e-01,1.845556791211848749e-02,1.700381679916058042e+00,4.849063386209530975e-16
1.380000000000000000e+02,4.658182074656968652e+00,3.427332026033416690e-01,1.873140337670095579e-02,1.723558985616067574e+00,4.849063386209530975e-16
1.390000000000000000e+02,4.587418171692000612e+00,3.476134242640609440e-01,1.900301267370307912e-02,1.746008852247230347e+00,4.849063386209530975e-16
1.400000000000000000e+02,4.517784740328500526e+00,3.524081020783694229e-01,1.927046330906297469e-02,1.767745633540982908e+00,4.849063386209530975e-16
1.410000000000000000e+02,4.449263681006411453e+00,3.571186112044730243e-01,1.953382170791368930e-02,1.788783432707907295e+00,5.327322427450883067e-16
1.420000000000000000e+02,4.381837183982027817e+00,3.617463047771579676e-01,1.979315323188942863e-02,1.809136106607390992e+00,5.327322427450883067e-16
1.430000000000000000e+02,4.315487724687321780e+00,3.662925142604415152e-01,2.004852219615462991e-02,1.828817269849307037e+00,5.327322427450883067e-16
1.440000000000000000e+02,4.250198059163576403e+00,3.707585497945763975e-01,2.029999188616041575e-02,1.847840298828818062e+00,5.327322427450883067e-16
1.450000000000000000e+02,4.185951219568136317e+00,3.751457005374985165e-01,2.054762457413267587e-02,1.866218335695378761e+00,5.327322427450883067e-16
1.460000000000000000e+02,4.122730509753114170e+00,3.794552350008072450e-01,2.079148153529618986e-02,1.883964292257005457e+00,5.327322427450883067e-16
1.470000000000000000e+02,4.060519500914883118e+00,3.836884013803656956e-01,2.103162306383891261e-02,1.901090853820850857e+00,5.327322427450883067e-16
1.480000000000000000e+02,3.999302027313237140e+00,3.878464278816078359e-01,2.126810848862066908e-02,1.917610482971120245e+00,5.327322427450883067e-16
1.490000000000000000e+02,3.939062182059098749e+00,3.919305230396359363e-01,2.150099618863028986e-02,1.933535423285337451e+00,5.327322427450883067e-16
1.500000000000000000e+02,3.879784312969673632e+00,3.959418760341928967e-01,2.173034360819525376e-02,1.948877702989956662e+00,5.327322427450883067e-16
1.510000000000000000e+02,3.821453018489975761e+00,3.998816569995909953e-01,2.195620727194779256e-02,1.963649138556301521e+00,0.000000000000000000e+00
1.520000000000000000e+02,3.764053143679658486e+00,4.037510173296777749e-01,2.217864279955131246e-02,1.977861338237794087e+00,0.000000000000000000e+00
1.530000000000000000e+02,3.707569776264109773e+00,4.075510899779189455e-01,2.239770492019107356e-02,1.991525705549424430e+00,0.000000000000000000e+00
1.540000000000000000e+02,3.651988242748771984e+00,4.112829897526759093e-01,2.261344748683277728e-02,2.004653442690391696e+00,0.000000000000000000e+00
1.550000000000000000e+02,3.597294104595688768e+00,4.149478136077554002e-01,2.282592349025287098e-02,2.017255553910838106e+00,0.000000000000000000e+00
1.560000000000000000e+02,3.543473154461270980e+00,4.185466409283067346e-01,2.303518507284419911e-02,2.029342848823577405e+00,0.000000000000000000e+00
1.570000000000000000e+02,3.490511412494304633e+00,4.220805338121406680e-01,2.324128354220055329e-02,2.040925945661705487e+00,0.000000000000000000e+00
1.580000000000000000e+02,3.438395122693240324e+00,4.255505373465444108e-01,2.344426938448374367e-02,2.052015274482974938e+00,0.000000000000000000e+00
1.590000000000000000e+02,3.387110749321808445e+00,4.289576798806633562e-01,2.364419227757661238e-02,2.062621080321783484e+00,0.000000000000000000e+00
1.600000000000000000e+02,3.336644973382031143e+00,4.323029732935221303e-01,2.384110110402541671e-02,2.072753426289633438e+00,0.000000000000000000e+00
1.610000000000000000e+02,3.286984689143709115e+00,4.355874132577531865e-01,2.403504396377502753e-02,2.082422196624890365e+00,0.000000000000000000e+00
1.620000000000000000e+02,3.238117000729480832e+00,4.388119794991027778e-01,2.422606818670012749e-02,2.091637099692659429e+00,0.000000000000000000e+00
1.630000000000000000e+02,3.190029218754562024e+00,4.419776360517819747e-01,2.441422034493582680e-02,2.100407670935591220e+00,0.000000000000000000e+00
1.640000000000000000e+02,3.142708857020293234e+00,4.450853315097281215e-01,2.459954626501078753e-02,2.108743275776406190e+00,0.000000000000000000e+00
1.650000000000000000e+02,3.096143629260629915e+00,4.481359992738436215e-01,2.478209103978610064e-02,2.116653112472921983e+00,0.000000000000000000e+00
1.660000000000000000e+02,3.050321445940731291e+00,4.511305577952753887e-01,2.496189904020295128e-02,2.124146214926347920e+00,0.000000000000000000e+00
1.670000000000000000e+02,3.005230411106810884e+00,4.540699108147992491e-01,2.513901392684222622e-02,2.131231455443607814e+00,0.000000000000000000e+00
1.680000000000000000e+02,2.960858819286427579e+00,4.569549475983706865e-01,2.531347866129898122e-02,2.137917547454431411e+00,0.000000000000000000e+00
1.690000000000000000e+02,2.917195152438414318e+00,4.597865431689041604e-01,2.548533551737479363e-02,2.144213048183946313e+00,0.000000000000000000e+00
1.700000000000000000e+02,2.874228076951640176e+00,4.625655585343412257e-01,2.565462609209090070e-02,2.150126361281492926e+00,0.000000000000000000e+00
1.710000000000000000e+02,2.831946440691835765e+00,4.652928409120661302e-01,2.582139131652497199e-02,2.155665739406369852e+00,0.000000000000000000e+00
1.720000000000000000e+02,2.790339270095701707e+00,4.679692239497287298e-01,2.598567146647439569e-02,2.160839286771203405e+00,0.000000000000000000e+00
1.730000000000000000e+02,2.749395767311552330e+00,4.705955279425306781e-01,2.614750617294876733e-02,2.165654961643635801e+00,0.000000000000000000e+00
1.740000000000000000e+02,2.709105307385740513e+00,4.731725600470330639e-01,2.630693443249441932e-02,2.170120578806995493e+00,0.000000000000000000e+00
1.750000000000000000e+02,2.669457435494135389e+00,4.757011144915400669e-01,2.646399461735358602e-02,2.174243811980622887e+00,0.000000000000000000e+00
1.760000000000000000e+02,2.630441864217934356e+00,4.781819727831138067e-01,2.661872448546093867e-02,2.178032196200501147e+00,0.000000000000000000e+00
1.770000000000000000e+02,2.592048470863091314e+00,4.806159039112745113e-01,2.677116119028000868e-02,2.181493130160834681e+00,0.000000000000000000e+00
1.780000000000000000e+02,2.554267294822672341e+00,4.830036645484391822e-01,2.692134129048214322e-02,2.184633878517206806e+00,0.000000000000000000e+00
1.790000000000000000e+02,2.517088534981443804e+00,4.853459992471501061e-01,2.706930075947044240e-02,2.187461574151944088e+00,0.000000000000000000e+00
1.800000000000000000e+02,2.480502547162017013e+00,4.876436406341460028e-01,2.721507499475122813e-02,2.189983220402289543e+00,0.000000000000000000e+00
1.810000000000000000e+02,2.982967313082915073e+00,4.898973096013249373e-01,2.735869882715541435e-02,2.192205693252001542e+00,2.299256103181259281e+00
1.820000000000000000e+02,3.477608158754826650e+00,4.927166534502280260e-01,2.753173025583313324e-02,2.198255019643708064e+00,2.299256103181259281e+00
1.830000000000000000e+02,3.964550211067725538e+00,4.960921846199791707e-01,2.773370952013461468e-02,2.208042071157908293e+00,2.299256103181259281e+00
1.840000000000000000e+02,4.443916593443996810e+00,5.000145677814580303e-01,2.796418421168180013e-02,2.221479358428218198e+00,2.299256103181259281e+00
1.850000000000000000e+02,4.915828457918775207e+00,5.044746173994791860e-01,2.822270915664806118e-02,2.238481003276088899e+00,2.299256103181259281e+00
1.860000000000000000e+02,5.380405016706596655e+00,5.094632953340074710e-01,2.850884629992293112e-02,2.258962711304105753e+00,2.299256103181259281e+00
1.870000000000000000e+02,5.837763573262590988e+00,5.149717084797833522e-01,2.882216459113161669e-02,2.282841744940434570e+00,2.299256103181259281e+00
1.880000000000000000e+02,6.288019552846305871e+00,5.209911064437433570e-01,2.916223987247960892e-02,2.310036896927099015e+00,2.299256103181259281e+00
1.890000000000000000e+02,6.731286532596133299e+00,5.275128792596323057e-01,2.952865476839320116e-02,2.340468464244880753e+00,2.299256103181259281e+00
